assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495630,10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
516093,135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,"Wake, Savage &amp; Hanken, 2007",Least Concern,,3.1,Stable,Global
517753,136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,"Wake, Savage &amp; Hanken, 2007",Endangered,B1ab(iii),3.1,Decreasing,Global
887217,161373,Pseudobatos percellens,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Pseudobatos,percellens,,,,"(Walbaum, 1792)",Endangered,A2cd,3.1,Decreasing,Global
888243,161436,Myliobatis goodei,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MYLIOBATIDAE,Myliobatis,goodei,,,,"Garman, 1885",Vulnerable,A2d,3.1,Decreasing,Global
890724,161564,Carcharhinus altimus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,altimus,,,,"(Springer, 1950)",Near Threatened,A2d,3.1,Decreasing,Global
892763,161610,Dipturus teevani,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dipturus,teevani,,,,"(Bigelow &amp; Schroeder, 1951)",Least Concern,,3.1,Decreasing,Global
893530,161682,Cruriraja rugosa,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,GURGESIELLIDAE,Cruriraja,rugosa,,,,"Bigelow &amp; Schroeder, 1958",Least Concern,,3.1,Stable,Global
1540419,178644,Anolis altae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,altae,,,,"Dunn, 1930",Least Concern,,3.1,Stable,Global
1543357,178725,Anolis carpenteri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,carpenteri,,,,"Echelle, Echelle &amp; Fitch, 1971",Least Concern,,3.1,Unknown,Global
1809596,186063,Bolitoglossa robinsoni,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,robinsoni,,,,"Bolaños &amp; Wake, 2009",Data Deficient,,3.1,Unknown,Global
1810426,186104,Bolitoglossa pygmaea,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,pygmaea,,,,"Bolaños &amp; Wake, 2009",Vulnerable,D2,3.1,Stable,Global
2483513,197437,Anolis lemurinus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,lemurinus,,,,"Cope, 1861",Least Concern,,3.1,Stable,Global
2483850,197440,Anolis cristatellus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,cristatellus,,,,"Duméril &amp; Bibron, 1837",Least Concern,,3.1,Stable,Global
2483996,197442,Anolis capito,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,capito,,,,"Peters, 1863",Least Concern,,3.1,Stable,Global
2484119,197443,Anolis sagrei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,sagrei,,,,"Duméril &amp; Bibron, 1837",Least Concern,,3.1,Stable,Global
2484199,197444,Anolis pentaprion,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,pentaprion,,,,"Cope, 1863",Least Concern,,3.1,Stable,Global
2484654,197448,Anolis cupreus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,cupreus,,,,"Hallowell, 1860",Least Concern,,3.1,Stable,Global
2759916,203077,Anolis aquaticus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,aquaticus,,,,"Taylor, 1956",Least Concern,,3.1,Stable,Global
2759962,203078,Anolis auratus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,auratus,,,,"Daudin, 1802",Least Concern,,3.1,Stable,Global
2760021,203083,Anolis charlesmyersi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,charlesmyersi,,,,"Köhler, 2010",Least Concern,,3.1,Stable,Global
2760084,203087,Anolis cryptolimifrons,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,cryptolimifrons,,,,"Köhler &amp; Sunyer, 2008",Least Concern,,3.1,Stable,Global
2760117,203088,Anolis datzorum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,datzorum,,,,"Köhler, Ponce, Sunyer &amp; Batista, 2007",Endangered,B1ab(iii),3.1,Unknown,Global
2760124,203089,Anolis frenatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,frenatus,,,,"Cope, 1899",Least Concern,,3.1,Unknown,Global
2760238,203095,Anolis humilis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,humilis,,,,"Peters, 1863",Least Concern,,3.1,Stable,Global
2760292,203096,Anolis ibanezi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,ibanezi,,,,"Poe, Latella, Ryan &amp; Schaad, 2009",Least Concern,,3.1,Unknown,Global
2760299,203097,Anolis insignis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,insignis,,,,"Cope, 1871",Least Concern,,3.1,Unknown,Global
2760407,203100,Anolis kemptoni,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,kemptoni,,,,"Dunn, 1940",Least Concern,,3.1,Stable,Global
2760470,203104,Anolis limifrons,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,limifrons,,,,"Cope, 1871",Least Concern,,3.1,Unknown,Global
2760547,203107,Anolis microtus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,microtus,,,,"Cope, 1871",Least Concern,,3.1,Unknown,Global
2760614,203111,Anolis osa,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,osa,,,,"Köhler, Dehling &amp; Köhler, 2010",Least Concern,,3.1,Stable,Global
2760621,203112,Anolis oxylophus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,oxylophus,,,,"Cope, 1876",Least Concern,,3.1,Stable,Global
2760690,203115,Anolis polylepis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,polylepis,,,,"Peyers, 1874",Least Concern,,3.1,Stable,Global
2760813,203123,Anolis townsendi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,townsendi,,,,"Stejneger, 1900",Least Concern,,3.1,Stable,Global
2760858,203125,Anolis tropidolepis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,tropidolepis,,,,"Boulenger, 1885",Least Concern,,3.1,Stable,Global
2760902,203126,Anolis unilobatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,unilobatus,,,,"Köhler &amp; Vesely, 2010",Least Concern,,3.1,Stable,Global
2761017,203132,Anolis woodi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,woodi,,,,"Dunn, 1940",Least Concern,,3.1,Stable,Global
2769722,203676,Anolis pachypus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,pachypus,,,,"Cope, 1876",Least Concern,,3.1,Unknown,Global
2908817,39368,Carcharhinus brevipinna,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,brevipinna,,,,"(Müller &amp; Henle, 1839)",Vulnerable,A2bd,3.1,Decreasing,Global
2956343,41823,Heptranchias perlo,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Heptranchias,perlo,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
2997621,44595,Rhinoptera brasiliensis,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,RHINOPTERIDAE,Rhinoptera,brasiliensis,,,,"Müller, 1836",Vulnerable,A2bd,3.1,Decreasing,Global
3016252,54560,Atelopus varius,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,varius,,,,"(Lichtenstein &amp; Martens, 1856)",Critically Endangered,A4ce,3.1,Unknown,Global
3021342,54960,Cochranella euknemos,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Cochranella,euknemos,,,,"(Savage &amp; Starrett, 1967)",Least Concern,,3.1,Decreasing,Global
3024457,55121,Silverstoneia nubicola,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Silverstoneia,nubicola,,,,"(Dunn, 1924)",Vulnerable,A2ace,3.1,Decreasing,Global
3025447,55186,Oophaga granulifera,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Oophaga,granulifera,,,,"(Taylor, 1958)",Vulnerable,"B1ab(iii,v)",3.1,Decreasing,Global
3027869,151594717,Cruziohyla calcarifer,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PHYLLOMEDUSIDAE,Cruziohyla,calcarifer,,,,"(Boulenger, 1902)",Least Concern,,3.1,Decreasing,Global
3028293,77651850,Agalychnis spurrelli,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PHYLLOMEDUSIDAE,Agalychnis,spurrelli,,,,"Boulenger, 1913",Least Concern,,3.1,Decreasing,Global
3028482,55296,Triprion spinosus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Triprion,spinosus,,,,"(Steindachner, 1864)",Near Threatened,A2c,3.1,Decreasing,Global
3029984,55482,Ecnomiohyla fimbrimembra,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Ecnomiohyla,fimbrimembra,,,,"(Taylor, 1948)",Vulnerable,B1ab(iii),3.1,Unknown,Global
3031099,55586,Hyloscirtus palmeri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Hyloscirtus,palmeri,,,,"(Boulenger, 1908)",Least Concern,,3.1,Decreasing,Global
3031396,55627,Isthmohyla rivularis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,rivularis,,,,"(Taylor, 1952)",Endangered,C2a(i),3.1,Decreasing,Global
3031839,55701,Isthmohyla zeteki,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,zeteki,,,,"(Gaige, 1929)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
3033153,55855,Agalychnis lemur,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PHYLLOMEDUSIDAE,Agalychnis,lemur,,,,"(Boulenger, 1882)",Critically Endangered,A2ace,3.1,Decreasing,Global
3038139,56406,Pristimantis altae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,altae,,,,"(Dunn, 1942)",Least Concern,,3.1,Decreasing,Global
3040635,56482,Strabomantis bufoniformis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Strabomantis,bufoniformis,,,,"(Boulenger, 1896)",Endangered,A4ace,3.1,Decreasing,Global
3040836,56497,Pristimantis caryophyllaceus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,caryophyllaceus,,,,"(Barbour, 1928)",Least Concern,,3.1,Decreasing,Global
3049546,56777,Pristimantis moro,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Pristimantis,moro,,,,"(Savage, 1965)",Least Concern,,3.1,Unknown,Global
3052067,154033310,Craugastor podiciferus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,podiciferus,,,,"(Cope, 1875)",Least Concern,,3.1,Stable,Global
3053897,56995,Craugastor taurus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,taurus,,,,"(Taylor, 1958)",Endangered,B1ab(iii),3.1,Decreasing,Global
3076592,59147,Bolitoglossa colonnea,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,colonnea,,,,"(Dunn, 1924)",Least Concern,,3.1,Stable,Global
3076952,59155,Bolitoglossa diminuta,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,diminuta,,,,"Robinson, 1976",Least Concern,,3.1,Stable,Global
3077213,59172,Bolitoglossa lignicolor,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,lignicolor,,,,"(Peters, 1873)",Least Concern,,3.1,Decreasing,Global
3077964,59323,Oedipina savagei,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,savagei,,,,"García-París &amp; Wake, 2000",Vulnerable,B1ab(iii),3.1,Unknown,Global
3078079,59327,Oedipina uniformis,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,uniformis,,,,"Keferstein, 1868",Least Concern,,3.1,Stable,Global
3078469,59543,Dermophis glandulosus,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,DERMOPHIIDAE,Dermophis,glandulosus,,,,"Taylor, 1955",Least Concern,,3.1,Unknown,Global
3078612,59547,Dermophis occidentalis,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,DERMOPHIIDAE,Dermophis,occidentalis,,,,"Taylor, 1955",Least Concern,,3.1,Stable,Global
3088381,60128,Rhinoptera bonasus,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,RHINOPTERIDAE,Rhinoptera,bonasus,,,,"(Mitchill, 1815)",Vulnerable,A2bd,3.1,Decreasing,Global
3091753,60201,Sphyrna media,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SPHYRNIDAE,Sphyrna,media,,,,"Springer, 1940",Critically Endangered,A2bcd,3.1,Decreasing,Global
3094594,144136822,Carcharhinus porosus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,porosus,,,,"(Ranzani, 1839)",Critically Endangered,A2d,3.1,Decreasing,Global
3096618,60236,Etmopterus bigelowi,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,ETMOPTERIDAE,Etmopterus,bigelowi,,,,"Shirai &amp; Tachikawa, 1993",Least Concern,,3.1,Stable,Global
3104105,61416,Squalus cubensis,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SQUALIDAE,Squalus,cubensis,,,,"Howell Rivero, 1936",Least Concern,,3.1,Increasing,Global
3118179,63108,Etmopterus gracilispinis,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,ETMOPTERIDAE,Etmopterus,gracilispinis,,,,"Krefft, 1968",Least Concern,,3.1,Stable,Global
3124285,63161,Gurgesiella atlantica,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,GURGESIELLIDAE,Gurgesiella,atlantica,,,,"(Bigelow &amp; Schroeder, 1962)",Least Concern,,3.1,Stable,Global
13330875,55600,Isthmohyla picadoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,picadoi,,,,"(Dunn, 1937)",Least Concern,,3.1,Stable,Global
17981512,81265980,Cebus imitator,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Cebus,imitator,,,,"Thomas, 1903",Vulnerable,A4cd,3.1,Decreasing,Global
22285369,5764,Cryptotis gracilis,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Cryptotis,gracilis,,,,"Miller, 1911",Least Concern,,3.1,Unknown,Global
50364253,13244,Mesoplodon densirostris,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,densirostris,,,,"(Blainville, 1817)",Least Concern,,3.1,Unknown,Global
50365198,13245,Mesoplodon europaeus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,europaeus,,,,"(Gervais, 1855)",Least Concern,,3.1,Unknown,Global
50367335,13251,Mesoplodon peruvianus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,peruvianus,,,,"Reyes, Mead &amp; Van Waerebeek, 1991",Least Concern,,3.1,Unknown,Global
50379111,23211,Ziphius cavirostris,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Ziphius,cavirostris,,,,"G. Cuvier, 1823",Least Concern,,3.1,Unknown,Global
50925708,50925252,Ecnomiohyla sukia,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Ecnomiohyla,sukia,,,,"Savage &amp; Kubicki, 2010",Least Concern,,3.1,Stable,Global
50926053,50926031,Bolitoglossa aureogularis,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,aureogularis,,,,"Boza-Oviedo, Rovito, Chaves, García-Rodríguez, Artavia, Bolaños &amp; Wake, 2012",Least Concern,,3.1,Stable,Global
50927269,50927240,Bolitoglossa splendida,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,splendida,,,,"Boza-Oviedo, Rovito, Chaves, García-Rodríguez, Artavia, Bolaños &amp; Wake, 2012",Data Deficient,,3.1,Unknown,Global
50927483,50927460,Nototriton matama,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,matama,,,,"Boza-Oviedo, Rovito, Chaves, García-Rodríguez, Artavia, Bolaños &amp; Wake, 2012",Least Concern,,3.1,Stable,Global
51061091,51061221,Oedipina pseudouniformis,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,pseudouniformis,,,,"Brame, 1968",Data Deficient,,3.1,Unknown,Global
51061262,51061256,Oedipina nimaso,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Oedipina,nimaso,,,,"Boza-Oviedo, Rovito, Chaves, García-Rodríguez, Artavia, Bolaños &amp; Wake, 2012",Data Deficient,,3.1,Unknown,Global
53951218,87633006,Incilius valliceps,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,valliceps,,,,"(Wiegmann, 1833)",Least Concern,,3.1,Stable,Global
54340769,54498,Atelopus chiriquiensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,chiriquiensis,,,,"Shreve, 1936",Extinct,,3.1,,Global
54341633,54635,Incilius fastidiosus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,fastidiosus,,,,"(Cope, 1875)",Critically Endangered,D,3.1,Decreasing,Global
54342251,54803,Incilius epioticus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,epioticus,,,,"(Cope, 1875)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
54343182,55323729,Hyalinobatrachium colymbiphyllum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,colymbiphyllum,,,,"(Taylor, 1949)",Least Concern,,3.1,Stable,Global
54345228,55314,Duellmanohyla uranochroa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Duellmanohyla,uranochroa,,,,"(Cope, 1875)",Vulnerable,B1ab(iii),3.1,Increasing,Global
54345829,55390,Isthmohyla angustilineata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,angustilineata,,,,"(Taylor, 1952)",Critically Endangered,C2a(i),3.1,Decreasing,Global
54346121,55432,Isthmohyla calypsa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,calypsa,,,,"(Lips, 1996)",Critically Endangered,D,3.1,Unknown,Global
54346454,55462,Isthmohyla debilis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,debilis,,,,"(Taylor, 1952)",Critically Endangered,C1,3.1,Decreasing,Global
54346734,55529,Isthmohyla lancasteri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,lancasteri,,,,"(Barbour, 1928)",Least Concern,,3.1,Stable,Global
54347781,55675,Isthmohyla tica,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Isthmohyla,tica,,,,"(Starrett, 1966)",Critically Endangered,C2a(i),3.1,Decreasing,Global
54349427,56498,Craugastor catalinae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,catalinae,,,,"(Campbell &amp; Savage, 2000)",Critically Endangered,D,3.1,Decreasing,Global
